;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
január;70000;170000;0;185000;157000;284000;290000;295000;80000;275000;260000;1233200
február;40000;80000;123000;55000;230000;285000;140000;345000;165000;465000;675000;688800
március;154000;120000;227500;236500;235000;340000;255000;150000;335000;295000;240000;60200
április;200000;290000;107750;205000;295000;550000;735000;180000;265000;360000;495000;200400
május;240000;197000;120750;142500;150000;215000;280000;540000;295000;310000;1470000;342750
június;130000;112000;68000;150000;215000;525000;350000;575000;300000;175000;220000;468800
július;140000;55000;45000;303000;430000;420000;130000;415000;185000;490000;388400;697100
augusztus;125000;210000;45000;217500;240000;200000;278000;80000;435000;280000;805000;576300
szeptember;230000;100000;187000;154450;320000;191500;270000;210000;175000;200000;440000;402400
október;214000;240000;43200;420000;600000;380000;283000;135000;225000;220000;660000;1080600
november;270000;184000;111600;210000;310000;115200;230000;100000;185000;235000;315000;1227200
december;130000;90000;127200;230000;175000;180000;480000;435000;200000;392000;180000;892400
